Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 8 	 2										22.643321																																																		-0.000001	-0.000000																																																																			-22.643320	-0.000001																																																																				0.000000	
 8 	 3										22.643321																																																		-0.000001	-0.000000																																																																			-22.643320	-0.000001																																																																				0.000000	
 8 	 4										22.643321																																																		-0.000001	-0.000000																																																																			-22.643319	-0.000001																																																																				0.000000	
 8 	 5										22.643321																																																		-0.000001	-0.000000																																																																			-22.643319	-0.000001																																																																				0.000000	
 8 	 6										22.643320																																																		-0.000001	-0.000000																																																																			-22.643319	-0.000001																																																																				0.000000	
 8 	 7										22.643320																																																		-0.000001	-0.000000																																																																			-22.643318	-0.000001																																																																				0.000000	
 8 	 8										22.643318																																																		-0.000001	-0.000000																																																																			-22.643317	-0.000001																																																																				0.000000	
 8 	 9										22.643316																																																		-0.000001	-0.000000																																																																			-22.643314	-0.000001																																																																				0.000000	
 8 	 10										22.643314																																																		-0.000001	-0.000000																																																																			-22.643312	-0.000001																																																																				0.000000	
 8 	 11										22.643312																																																		-0.000001	-0.000000																																																																			-22.643310	-0.000001																																																																				0.000000	
 8 	 12										22.643310																																																		-0.000001	-0.000000																																																																			-22.643309	-0.000001																																																																				0.000000	
 8 	 13										22.643310																																																		-0.000001	-0.000000																																																																			-22.643308	-0.000001																																																																				0.000000	
 8 	 14										22.643310																																																		-0.000001	-0.000000																																																																			-22.643308	-0.000001																																																																				0.000000	
 8 	 15										22.643310																																																		-0.000001	-0.000000																																																																			-22.643309	-0.000001																																																																				0.000000	
 8 	 16										22.643310																																																		-0.000001	-0.000000																																																																			-22.643309	-0.000001																																																																				0.000000	
 8 	 17										22.643311																																																		-0.000001	-0.000000																																																																			-22.643310	-0.000001																																																																				0.000000	
 8 	 18										22.643312																																																		-0.000001	-0.000000																																																																			-22.643311	-0.000001																																																																				0.000000	
 8 	 19										22.643313																																																		-0.000001	-0.000000																																																																			-22.643312	-0.000001																																																																				0.000000	
 8 	 20										22.643314																																																		-0.000001	-0.000000																																																																			-22.643313	-0.000001																																																																				0.000000	
 8 	 21										22.643314																																																		-0.000001	-0.000000																																																																			-22.643313	-0.000001																																																																				0.000000	
 8 	 22										22.643314																																																		-0.000001	-0.000000																																																																			-22.643313	-0.000001																																																																				0.000000	
 8 	 23										22.643314																																																		-0.000001	-0.000000																																																																			-22.643313	-0.000001																																																																				0.000000	
 8 	 24										22.643314																																																		-0.000001	-0.000000																																																																			-22.643313	-0.000001																																																																				0.000000	
 9 	 1										22.643475																																																		-0.000000	-0.000000																																																																			-22.643474	-0.000001																																																																				0.000000	
 9 	 2										22.643477																																																		-0.000000	-0.000000																																																																			-22.643475	-0.000001																																																																				0.000000	
 9 	 3										22.643478																																																		-0.000000	-0.000000																																																																			-22.643477	-0.000001																																																																				0.000000	
 9 	 4										22.643480																																																		-0.000000	-0.000000																																																																			-22.643479	-0.000001																																																																				0.000000	
 9 	 5										22.643481																																																		-0.000000	-0.000000																																																																			-22.643480	-0.000001																																																																				0.000000	
 9 	 6										22.643481																																																		-0.000000	-0.000000																																																																			-22.643480	-0.000001																																																																				0.000000	
 9 	 7										22.643479																																																		-0.000000	-0.000000																																																																			-22.643478	-0.000001																																																																				0.000000	
 9 	 8										22.643475																																																		-0.000000	-0.000000																																																																			-22.643474	-0.000001																																																																				0.000000	
 9 	 9										22.643472																																																		-0.000000	-0.000000																																																																			-22.643471	-0.000001																																																																				0.000000	
 9 	 10										22.643471																																																		-0.000000	-0.000000																																																																			-22.643470	-0.000001																																																																				0.000000	
 9 	 11										22.643471																																																		-0.000000	-0.000000																																																																			-22.643470	-0.000001																																																																				0.000000	
 9 	 12										22.643471																																																		-0.000000	-0.000000																																																																			-22.643470	-0.000001																																																																				0.000000	
 9 	 13										22.643471																																																		-0.000000	-0.000000																																																																			-22.643470	-0.000001																																																																				0.000000	
 9 	 14										22.643471																																																		-0.000000	-0.000000																																																																			-22.643470	-0.000001																																																																				0.000000	
 9 	 15										22.643471																																																		-0.000000	-0.000000																																																																			-22.643470	-0.000001																																																																				0.000000	
 9 	 16										22.643472																																																		-0.000000	-0.000000																																																																			-22.643470	-0.000001																																																																				0.000000	
 9 	 17										22.643472																																																		-0.000000	-0.000000																																																																			-22.643471	-0.000001																																																																				0.000000	
 9 	 18										22.643473																																																		-0.000000	-0.000000																																																																			-22.643471	-0.000001																																																																				0.000000	
 9 	 19										22.643473																																																		-0.000000	-0.000000																																																																			-22.643472	-0.000001																																																																				0.000000	
 9 	 20										22.643475																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 9 	 21										22.643477																																																		-0.000000	-0.000000																																																																			-22.643476	-0.000001																																																																				0.000000	
 9 	 22										22.643480																																																		-0.000000	-0.000000																																																																			-22.643479	-0.000001																																																																				0.000000	
 9 	 23										22.643483																																																		-0.000000	-0.000000																																																																			-22.643482	-0.000001																																																																				0.000000	
 9 	 24										22.643487																																																		-0.000000	-0.000000																																																																			-22.643486	-0.000001																																																																				0.000000	
 10 	 1										22.643477																																																		-0.000000	-0.000000																																																																			-22.643475	-0.000001																																																																				0.000000	
 10 	 2										22.643478																																																		-0.000000	-0.000000																																																																			-22.643476	-0.000001																																																																				0.000000	
 10 	 3										22.643480																																																		-0.000000	-0.000000																																																																			-22.643479	-0.000001																																																																				0.000000	
 10 	 4										22.643483																																																		-0.000000	-0.000000																																																																			-22.643481	-0.000001																																																																				0.000000	
 10 	 5										22.643485																																																		-0.000000	-0.000000																																																																			-22.643484	-0.000001																																																																				0.000000	
 10 	 6										22.643485																																																		-0.000000	-0.000000																																																																			-22.643484	-0.000001																																																																				0.000000	
 10 	 7										22.643483																																																		-0.000000	-0.000000																																																																			-22.643481	-0.000001																																																																				0.000000	
 10 	 8										22.643478																																																		-0.000000	-0.000000																																																																			-22.643477	-0.000001																																																																				0.000000	
 10 	 9										22.643476																																																		-0.000000	-0.000000																																																																			-22.643474	-0.000001																																																																				0.000000	
 10 	 10										22.643474																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 11										22.643474																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 12										22.643474																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 13										22.643474																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 14										22.643475																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 15										22.643475																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 16										22.643475																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 17										22.643475																																																		-0.000000	-0.000000																																																																			-22.643473	-0.000001																																																																				0.000000	
 10 	 18										22.643475																																																		-0.000000	-0.000000																																																																			-22.643474	-0.000001																																																																				0.000000	
 10 	 19										22.643475																																																		-0.000000	-0.000000																																																																			-22.643474	-0.000001																																																																				0.000000	
 10 	 20										22.643476																																																		-0.000000	-0.000000																																																																			-22.643474	-0.000001																																																																				0.000000	
 10 	 21										22.643476																																																		-0.000000	-0.000000																																																																			-22.643475	-0.000001																																																																				0.000000	
 10 	 22										22.643478																																																		-0.000000	-0.000000																																																																			-22.643476	-0.000001																																																																				0.000000	
 10 	 23										22.643480																																																		-0.000000	-0.000000																																																																			-22.643479	-0.000001																																																																				0.000000	
 10 	 24										22.643487																																																		-0.000000	-0.000000																																																																			-22.643485	-0.000001																																																																				0.000000	
 11 	 1										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 2										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 3										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 4										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 5										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 6										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 7										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 8										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 9										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 10										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 11										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 12										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 13										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 14										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 15										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 16										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 17										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 18										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 19										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 20										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 21										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 22										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 23										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 11 	 24										33.777739																																																		-0.000000	-0.000000																																																																			-33.777737	-0.000001																																																																				0.000000	
 12 	 1										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 2										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 3										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 4										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 5										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 6										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 7										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 8										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 9										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 10										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 11										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 12										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 13										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 14										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 15										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 16										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 17										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 18										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 19										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 20										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 21										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 22										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 23										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
 12 	 24										33.777738																																																		-0.000001	-0.000000																																																																			-33.777736	-0.000001																																																																				0.000000	
