Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 11 	 18							2.854022	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000002					-0.000001						-3.508192	-0.000001		-0.000000		-0.000013						-0.545860							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000011	0.000032																							0.000000	
 11 	 19							2.807307	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000002					-0.000001						-3.508192	-0.000001		-0.000000		-0.000013						-0.499146							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000010	0.000032																							0.000000	
 11 	 20							2.796446	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000002					-0.000001						-3.508192	-0.000001		-0.000000		-0.000013						-0.488285							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000010	0.000032																							0.000000	
 11 	 21							2.794092	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000002					-0.000001						-3.508192	-0.000001		-0.000000		-0.000013						-0.485931							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000010	0.000032																							0.000000	
 11 	 22							2.958940	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000002					-0.000001						-3.508192	-0.000001		-0.000000		-0.000013						-0.650779							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000010	0.000032																							0.000000	
 11 	 23							2.988397	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000002					-0.000001						-3.508192	-0.000001		-0.000000		-0.000013						-0.680236							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000010	0.000032																							0.000000	
 11 	 24							2.988408	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000002					-0.000001						-3.508192	-0.000001		-0.000000		-0.000013						-0.680246							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000010	0.000031																							0.000000	
 12 	 1							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000001	-0.000001		-0.000000		-0.000002						-0.009277							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.009369	0.000001																																												-0.000098	0.000008																							0.000000	
 12 	 2							0.000007	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000002	-0.000001		-0.000000		-0.000002						-0.396520							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.396621	0.000001																																												-0.000106	0.000007																							0.000000	
 12 	 3							0.000007	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000002	-0.000001		-0.000000		-0.000002						-0.476070							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.476172	0.000001																																												-0.000106	0.000007																							0.000000	
 12 	 4							0.000007	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000003	-0.000001		-0.000000		-0.000002						-0.465062							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.465164	0.000001																																												-0.000105	0.000007																							0.000000	
 12 	 5							0.000007	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000003	-0.000001		-0.000000		-0.000003						-0.460275							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.460378	0.000001																																												-0.000105	0.000007																							0.000000	
 12 	 6							0.000007	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000005	-0.000001		-0.000000		-0.000003						-0.457883							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.457987	0.000001																																												-0.000105	0.000008																							0.000000	
 12 	 7							0.000007	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000006	-0.000001		-0.000000		-0.000004						-0.458847							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.458951	0.000001																																												-0.000103	0.000008																							0.000000	
 12 	 8							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.000011	-0.000001		-0.000000		-0.000003						-0.497202							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.497310	0.000001																																												-0.000104	0.000008																							0.000000	
 12 	 9							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.304754	-0.000001		-0.000000		-0.000003						-0.551549							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	0.856399	0.000001																																												-0.000103	0.000008																							0.000000	
 12 	 10							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.430382	-0.000001		-0.000000		-0.000004						-0.666507							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.096985	0.000001																																												-0.000101	0.000008																							0.000000	
 12 	 11							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.430382	-0.000001		-0.000000		-0.000004						-0.680251							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.110729	0.000001																																												-0.000101	0.000008																							0.000000	
 12 	 12							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.430382	-0.000001		-0.000000		-0.000004						-0.680256							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.110734	0.000001																																												-0.000101	0.000008																							0.000000	
 12 	 13							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.430383	-0.000001		-0.000000		-0.000005						-0.680257							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.110735	0.000001																																												-0.000100	0.000008																							0.000000	
 12 	 14							0.000008	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.505603	-0.000001		-0.000000		-0.000005						-0.680257							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.185955	0.000001																																												-0.000099	0.000008																							0.000000	
 12 	 15							0.000014	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-0.519768	-0.000001		-0.000000		-0.000005						-0.680257							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200024	0.000001																																												-0.000016	0.000014																							0.000000	
 12 	 16							1.359542	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-1.913661	-0.000001		-0.000000		-0.000005						-0.645974							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200031	0.000001																																												-0.000008	0.000081																							0.000000	
 12 	 17							2.907177	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508181	-0.000001		-0.000000		-0.000006						-0.599088							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000008	0.000082																							0.000000	
 12 	 18							2.851872	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508186	-0.000001		-0.000000		-0.000007						-0.543778							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000008	0.000083																							0.000000	
 12 	 19							2.823819	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508188	-0.000001		-0.000000		-0.000008						-0.515723							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000007	0.000084																							0.000000	
 12 	 20							2.813867	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508189	-0.000001		-0.000000		-0.000009						-0.505770							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000007	0.000084																							0.000000	
 12 	 21							2.858621	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508190	-0.000001		-0.000000		-0.000010						-0.550521							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000008	0.000083																							0.000000	
 12 	 22							2.988349	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508190	-0.000001		-0.000000		-0.000010						-0.680248							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000008	0.000084																							0.000000	
 12 	 23							2.988321	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508191	-0.000001		-0.000000		-0.000011						-0.680217							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000008	0.000081																							0.000000	
 12 	 24							2.988356	0.000000															-0.000000														-0.000001																-0.000000			-0.000000							-0.000001					-0.000000						-3.508191	-0.000001		-0.000000		-0.000011						-0.680249							-0.000000						-0.000000									-0.000000							-0.000000			-0.000000				-0.000000											-0.000001		0.000000	0.000000	1.200030	0.000001																																												-0.000009	0.000080																							0.000000	
